wl,n,k,eps_re,eps_im
0.5881,0.224788,2.991933,-8.901133432,1.34510127
0.5897,0.220536,3.010507,-9.01451627,1.327850344
0.59129,0.21934,3.031479,-9.141754892,1.329849208
0.59289,0.216413,3.052136,-9.268699576,1.321043816
0.59448,0.213144,3.07105,-9.385917738,1.309151762
0.59607,0.211688,3.090595,-9.506965645,1.308483749
0.59767,0.209458,3.112321,-9.642669353,1.303801064
0.59926,0.207365,3.131577,-9.763774264,1.298758929
0.60086,0.205028,3.151662,-9.890936881,1.292357913
0.60245,0.20345,3.168488,-9.997924304,1.289257767
0.60404,0.19938,3.184948,-10.10414138,1.270029864
0.60564,0.19536,3.202859,-10.22014024,1.251421068
0.60723,0.192552,3.216011,-10.30565048,1.2384987
0.60882,0.191029,3.228444,-10.38635858,1.233452858
0.61042,0.188562,3.245145,-10.49541044,1.223822063
0.61201,0.185331,3.263398,-10.61541893,1.209617629
0.61361,0.184297,3.27602,-10.69834166,1.207521316
0.6152,0.181463,3.295161,-10.8251572,1.195899601
0.61679,0.18018,3.312912,-10.94292109,1.193840968
0.61839,0.17927,3.334331,-11.08562548,1.195491037
0.61998,0.177374,3.352397,-11.20710411,1.189256131
0.62157,0.175644,3.371302,-11.33482636,1.184297937
0.62316,0.172965,3.391869,-11.47485842,1.173349243
0.62476,0.173615,3.410164,-11.59907634,1.184111246
0.62635,0.170924,3.427333,-11.71739648,1.171626931
0.62794,0.167898,3.444633,-11.83730677,1.156693983
0.62954,0.166978,3.460406,-11.94652803,1.155623346
0.63113,0.164588,3.477125,-12.06330906,1.144586099
0.63272,0.162789,3.489354,-12.14909108,1.136056897
0.63432,0.160351,3.503965,-12.25205828,1.123728583
0.63591,0.158405,3.517092,-12.34484399,1.114249917
0.6375,0.158269,3.532485,-12.4534012,1.118165737
0.63909,0.156643,3.546509,-12.55318906,1.111071619
0.64069,0.15402,3.559886,-12.64906617,1.096587283
0.64228,0.150748,3.578857,-12.78549247,1.07901107
0.64387,0.150984,3.593806,-12.8926454,1.08521441
0.64546,0.151722,3.611992,-13.02346664,1.0960373
0.64706,0.149365,3.632087,-13.16974607,1.08501335
0.64865,0.148122,3.649847,-13.299443,1.081245275
0.65024,0.146374,3.667756,-13.43100873,1.073728233
0.65183,0.144943,3.68904,-13.58800765,1.069401049
0.65342,0.143667,3.704715,-13.70427302,1.06449058
0.65502,0.142252,3.721318,-13.82797203,1.058729856
0.65661,0.140863,3.738857,-13.95920928,1.053333227
0.6582,0.140247,3.75563,-14.08508748,1.053431681
0.65979,0.138266,3.769203,-14.18777377,1.042305244
0.66138,0.136902,3.785357,-14.31018546,1.036445888
0.66297,0.135901,3.799028,-14.41414466,1.032583408
0.66457,0.135059,3.812761,-14.51890551,1.029895376
0.66616,0.134894,3.823083,-14.59776723,1.031421916
0.66775,0.133174,3.840447,-14.73129785,1.022895378
0.66934,0.131347,3.852699,-14.82603755,1.012080911
0.67093,0.130371,3.868464,-14.94801712,1.00867104
0.67252,0.1296,3.885193,-15.07792849,1.007042026
0.67411,0.130106,3.899305,-15.18765191,1.014645953
0.6757,0.128254,3.916278,-15.32078428,1.004556637
0.6773,0.126503,3.936044,-15.47643936,0.995842748
0.67889,0.12686,3.951335,-15.59695482,1.002532716
0.68048,0.127252,3.971257,-15.75468909,1.010700792
0.68207,0.12783,3.991318,-15.91427887,1.02042036
0.68366,0.127192,4.005129,-16.0248805,1.018840736
0.68525,0.126803,4.024561,-16.18101224,1.020652817
0.68684,0.126808,4.036647,-16.27843873,1.023758266
0.68843,0.127072,4.054398,-16.42199585,1.030400925
0.69002,0.125222,4.071417,-16.56075584,1.019661959
0.69161,0.126962,4.084581,-16.6676826,1.037173146
0.6932,0.124007,4.098977,-16.78623471,1.016603682
0.69479,0.123229,4.111432,-16.8886877,1.013295308
0.69638,0.123383,4.12775,-17.0230967,1.018588357
0.69797,0.126175,4.13824,-17.10911017,1.044284864
0.69956,0.122764,4.152935,-17.23179811,1.019661825
0.70115,0.123955,4.166524,-17.3445574,1.032922965
0.70274,0.121978,4.179339,-17.45199584,1.019574825
0.70433,0.122276,4.195071,-17.58366927,1.025913003
0.70592,0.121939,4.209928,-17.70862465,1.026708821
0.70751,0.124982,4.224716,-17.83260478,1.05602691
0.7091,0.12552,4.236686,-17.93375299,1.063577653
0.71069,0.123918,4.254848,-18.08837583,1.054504509
0.71227,0.122426,4.276167,-18.27061609,1.047028042
0.71386,0.125132,4.291328,-18.39983799,1.073964911
0.71545,0.123632,4.30368,-18.50637667,1.064145132
0.71704,0.126667,4.32104,-18.65534215,1.094666347
0.71863,0.12366,4.332552,-18.75571504,1.071526761
0.72022,0.126424,4.34802,-18.88929489,1.099388161
0.72181,0.124961,4.366908,-19.05427023,1.091386381
0.7234,0.125025,4.382685,-19.19229656,1.095890384
0.72498,0.122971,4.398644,-19.33294717,1.081811303
